feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Copywriting Jobs,"Marketing, Media and PR Jobs",Writing Jobs,3
Counselling and Social Services,Home and Social Care Jobs,Other Home and Social Care Jobs,3
Creative Jobs,"Marketing, Media and PR Jobs",Design and Creative Jobs,3
CRM Jobs,"Office, Admin and PA Jobs",Data Entry,3
Customer Services Jobs,"Sales, Retail and Customer Service Jobs",Customer Service Jobs,3
Design Jobs,"Marketing, Media and PR Jobs",Design and Creative Jobs,3
Development,Computing and IT Jobs,Web Developer Jobs,3
Development Jobs,Computing and IT Jobs,Web Developer Jobs,3
Digital Marketing Jobs,"Marketing, Media and PR Jobs","Digital Marketing, SEO and PPC Jobs",3
Direct Marketing Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Driver Jobs,Driver Jobs,Other Driver Jobs,4
Ecommerce Marketing Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Email Marketing Jobs,"Marketing, Media and PR Jobs","Digital Marketing, SEO and PPC Jobs",3
Event Marketing Jobs,"Marketing, Media and PR Jobs",Event and Field Marketing Jobs,3
Field Marketing Jobs,"Marketing, Media and PR Jobs",Event and Field Marketing Jobs,3
Finance Jobs,Accountancy and Finance Jobs,Financial Services and Retail Banking Jobs,3
Graduate Marketing Jobs,"Marketing, Media and PR Jobs",Graduate Marketing Jobs,3
Graphic Design Jobs,"Marketing, Media and PR Jobs",Design and Creative Jobs,3
Housebuilders,Construction and Tradesmen Jobs,Building Service and Maintenance Jobs,3
Mail Order,"Sales, Retail and Customer Service Jobs",Retail Jobs,3
Market Analyst Jobs,Computing and IT Jobs,Business Analyst Jobs,3
Market Research Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Marketing and Sales Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Marketing Assistant Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Marketing Communications Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Marketing Director Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Marketing Executive,"Marketing, Media and PR Jobs",Marketing Jobs,3
Marketing Manager,"Marketing, Media and PR Jobs",Marketing Jobs,3
Media Marketing Jobs,"Marketing, Media and PR Jobs","Digital Marketing, SEO and PPC Jobs",3
Media Planning and Buying Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Online Marketing Jobs,"Marketing, Media and PR Jobs","Digital Marketing, SEO and PPC Jobs",3
Parts Advisor Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Planning Jobs,Construction and Tradesmen Jobs,"Other Construction, Tradesmen, and Property Jobs",3
PR Jobs,"Marketing, Media and PR Jobs",PR Jobs,3
Product Development Jobs,Computing and IT Jobs,Other Computing and IT Jobs,3
Product Marketing Jobs,"Marketing, Media and PR Jobs",Marketing Jobs,3
Project Management Jobs,Computing and IT Jobs,IT Project Management Jobs,3
Recruitment Consultant Jobs,Recruitment and HR Jobs,Recruitment Consultant Jobs,3
Recruitment Sales Jobs,Recruitment and HR Jobs,Other Recruitment and HR Jobs,3
Research and Analytics Jobs,Computing and IT Jobs,Business Analyst Jobs,3
Retail Warehouse / Trade Park,General Jobs,Warehouse Jobs,3
RV Park,Seasonal and Overseas Jobs,Caravan Park Jobs,3
Sales Promotions Jobs,General Jobs,Promotional Jobs,3
Secretary,"Office, Admin and PA Jobs",Secretarial Jobs,3
Security / Stewarding,General Jobs,Security Jobs,3
SEO and PPC Jobs,"Marketing, Media and PR Jobs","Digital Marketing, SEO and PPC Jobs",3
Sponsorship Marketing Jobs,"Marketing, Media and PR Jobs","Other Marketing, Media, and PR Jobs",3
Tour Operator Jobs,Seasonal and Overseas Jobs,Travel and Tourism Jobs,3
Trade Marketing Jobs,"Marketing, Media and PR Jobs","Other Marketing, Media, and PR Jobs",3
Trainee Recruitment Jobs,Recruitment and HR Jobs,Graduate and Trainee Recruitment Jobs,3
Translation Services,Education Jobs,International Teaching and TEFL Jobs,3
Travel Agent Jobs,Seasonal and Overseas Jobs,Travel and Tourism Jobs,3
Vehicle Leasing Services,Automotive Jobs,Other Automotive Jobs,3
Vets,"Farming, Gardening and Pet Jobs",Veterinary Jobs,3
Wedding Services,Hospitality and Catering Jobs,Other Hospitality and Catering Jobs,3
Wedding Venues,Hospitality and Catering Jobs,Other Hospitality and Catering Jobs,3
